solution name,adoption unit,CO2e,CH4,CO2,N2O,carbon sequestration,Unnamed: 7
Deploy Alternative Insulation Materials,FU: kg insulation needed for 100m2 with RSI = 1 m2K/W,4.070845869,,0.283026811,,,
Deploy Alternative Refrigerants low-GWP alternatives,kt high-GWP refrigerant replaced,860000.0,,,,,
Deploy Alternative Refrigerants medium-GWP alternatives,kt high-GWP refrigerant replaced,700000.0,,,,,
Deploy Clean Cooking,household adopting clean cooking solutions,,,,,,
Deploy Distributed Solar PV,MW,660.0,7.297239186,648.2029444,4.187227383,0.0,
Deploy Industrial Green Hydrogen,kg hydrogen used as industrial feedstock,0.012,,0.012,,,
Deploy LED Lighting,% lamps LED globally,7146194.482,79048.78816,7021786.724,45358.9696,0.0,
Deploy Offshore Wind Turbines,MW,1900.0,21.39172377,1900.195126,12.27478081,0.0,
Deploy Onshore Wind Turbines,1 MW installed capacity,1700.0,19.0,1700.0,11.0,0.0,
Deploy Silvopasture,enter units here,9.8083975,0.0,0.0,0.0,9.8083975,
Deploy Utility-Scale Solar PV,MW,760.0,8.428794835,748.7173561,4.836525108,0.0,
Enhance Public Transit,Passenger-km (pkm),5.92e-05,1.33e-06,5.21e-05,5.72e-06,0.0,
Improve Annual Cropping,enter units here,1.7993,0.0,0.0,0.5148,1.2845,
Improve Cement Production,Mt cement,429396.0,0.0,429396.0,0.0,0.0,
Improve Diets,kilograms/yr,0.134228789,0.105002551,0.029226238,0.0,0.0,
Improve Landfill Management,Mt CH4 abated,81200000.0,81200000.0,0.0,0.0,0.0,
Improve Nonmotorized Transportation Private bicycle and pedestrian travel,million pkm,0.000116294,1.79e-06,0.000108479,6.02e-06,0.0,
Improve Nonmotorized Transportation Shared bicycle travel,million pkm,0.000108783,1.71e-06,0.00010172,5.36e-06,0.0,
Improve Nonmotorized Transportation TOTAL Nonmotorized travel,million pkm,0.000115623,1.78e-06,0.000107865,5.97e-06,0.0,
Improve Nutrient Management,t avoided excess N applied,5.959342603,0.0,0.0,5.959342603,0.0,
Improve Rice Production,ha,5.885217635,,,,,
Improve Windows & Glass,m2,0.065351149,0.000504991,0.06436811,0.000478048,0.0,
